Organization,Initiative,LLM_Score,LLM_Score_Normalized,LLM_Verdict,Embeddings_Score,Embeddings_Cluster,Score_Difference,Score_Average,Agreement_Level,LLM_Agreements,LLM_Disagreements
Simon Önnered,2025 Strategic Foresight Report,7,0.7,Likely Ally,0.2784353196620941,3,0.42156468033790584,0.48921765983104704,Low,"Both submissions emphasize the importance of strategic foresight and anticipatory policymaking to manage interconnected megatrends (technology, climate, demographics) and strengthen long-term EU resilience. They also agree on the need to monitor system-level risks—including climate-driven migration, labour displacement, and societal harms from digital technologies—and to prioritise policies that address inequality and intergenerational fairness.","They differ in prescription and emphasis: one submission advances concrete, interventionist proposals (dedicated R&D missions and institutions, procurement and enforcement reforms, SRM research governance, biofoundry networks, and tech/defence sovereignty), while the other is more diagnostic and methodological, focusing on mapping megatrend interlinkages, proposing eco-awareness as a standalone megatrend, and recommending indicator-based monitoring and further research. The submissions also vary in focus on specific technologies and threats (e.g., explicit SRM and biosecurity governance versus attention to misinformation, urban systems pressure, and conceptual framing)."
University of Bergen,2025 Strategic Foresight Report,7,0.7,Likely Ally,0.2765941321849823,2,0.42340586781501766,0.4882970660924911,Low,"Both submissions prioritise climate research, interdisciplinary work, and enhanced research infrastructure (including data sharing and prediction systems) to bolster long-term resilience. They also agree on the need to integrate social sciences, humanities and psychology into technology and health research, address youth and mental-health concerns, and strengthen EU research funding and strategic foresight-oriented approaches.","They differ on emphasis and policy instruments: one submission pushes mission-driven, security-oriented measures (defence/tech sovereignty, procurement reform, biofoundries, SRM research and centralized enforcement) and active governance of emerging tech, while the other centres on boosting basic and curiosity-driven research, prioritising university-led mechanisms (ERC/MSCA), civilian-only R&I and safeguarding open competition with caution on large top-down partnerships. There is also divergence on risk appetite for climate intervention research and the preferred locus for dual-use work (security/defence channels versus civilian R&I separation)."
Kansaneläkelaitos Kela,2025 Strategic Foresight Report,7,0.7,Likely Ally,0.2750226259231567,0,0.4249773740768433,0.48751131296157835,Low,"Both submissions prioritise strengthening EU resilience through improved strategic foresight, cross‑level cooperation, and continuity of critical services. They share concern for societal wellbeing, trust, protection of vulnerable groups, and the need for robust digital resilience and data protection for health and social systems. Both call for better integration of foresight into policy processes and for mechanisms that ensure continuity of essential public functions in crises.","Submission A emphasises high‑level technological and geopolitical priorities—AI and R&D leadership, procurement reform, defence and tech sovereignty, biosecurity, and active research/governance on climate interventions (SRM) and early‑warning systems. Submission B focuses on operational public‑service resilience: continuity of payments, national agency involvement in foresight, pragmatic interoperability, GDPR compliance, and cyber‑security of health and social databases. In short, A is oriented toward strategic, tech‑driven and security‑focused instruments; B is focused on service delivery, legal safeguards, and institutional continuity at national level."
Anonymous_5,2025 Strategic Foresight Report,6,0.6,Neutral,0.3734937310218811,2,0.22650626897811887,0.48674686551094054,Medium,Both submissions prioritise stronger EU strategic autonomy—notably in defence capability and critical technologies—and call for the bloc to be more proactive internationally rather than passively observing crises. They also share concern about dependence on non-EU actors in areas like space and critical infrastructure and support building European capacity and procurement mechanisms to reduce that reliance.,"The other submission advocates direct, interventionist military action to stabilise source countries and a more immediate assertive posture in space, whereas the first submission emphasises strengthening defence industrial capacity alongside robust democratic oversight, multilateral governance and long-term institution-building. The first submission places substantial weight on regulatory frameworks, social resilience (mental health, intergenerational equity), research-led approaches and precaution (e.g., SRM governance and biosecurity), priorities that are absent from the other submission’s narrow focus on force projection and space presence."
SPES project - Sustainabilty Performances Evidence and Scenarios,2025 Strategic Foresight Report,6,0.6,Neutral,0.3671867251396179,3,0.23281327486038206,0.48359336256980895,Medium,"Both submissions prioritise stronger climate action, long-term resilience and intergenerational fairness, calling for improved strategic foresight, public engagement, and evidence-based R&I that serves societal needs. They each stress the need to strengthen governance, social protection (health, education, inclusion) and to embed wellbeing considerations into policymaking. Both advocate more transparent, participatory processes to align policy with long-term societal and environmental objectives.","Submission A emphasises technological sovereignty, defence and competitiveness, large-scale mission-driven tech investments (AI, biofoundries) and anticipatory research on climate interventions (SRM), alongside procurement and enforcement reforms to mobilise capital and innovation. Submission B centres on replacing GDP with a Sustainable Human Development framework, redistribution, progressive taxation, community banking, social economy promotion and systemic limits to growth; it prioritises transformative social and economic reforms over technology- and defence-led industrial strategies. They also differ on the framing and tools for mobilisation (market-facing investment and procurement reforms vs. fiscal/redistributive instruments and mass advocacy) and on the relative emphasis given to researching high-risk climate interventions."
FutuRes Towards a Resilient Future of Europe Horizon Europe funded project,2025 Strategic Foresight Report,6,0.6,Likely Ally,0.3669643700122833,1,0.23303562998771665,0.48348218500614165,Medium,"Both submissions prioritize strengthening EU long-term resilience through improved strategic foresight, evidence-driven policymaking, and attention to intergenerational fairness. They converge on the need to bolster social cohesion and human capital—including making labour markets and talent retention more effective—and to empower local communities and participatory processes to increase societal resilience.","They diverge on primary policy focus and instruments: one submission concentrates on emerging-technology governance, climate intervention preparedness (including SRM), biosecurity, defence/tech sovereignty, and centralized enforcement and R&D institutions; the other centers on demographic resilience, labour market participation, caregiving, pensions, and locally driven care and community strategies. They also differ in preferred levers — large-scale, mission-driven R&D/procurement and centralized agencies versus local demographic strategies, labour-market reforms, and community-level interventions."
Anonymous_11,2025 Strategic Foresight Report,7,0.7,Likely Ally,0.2667757570743561,4,0.4332242429256439,0.483387878537178,Low,"Both submissions prioritise strengthening EU resilience through greater strategic autonomy — notably in defence, AI capacity, and domestic production of critical goods such as medicines. They converge on the need to close capability gaps (AI delays, supply-chain vulnerabilities) and to reduce reliance on external suppliers by building European industrial and technological capacity.","Submission B frames the current approach as overly heavy, costly, and ineffective and emphasizes immediate, pragmatic remedies (onshoring production, fixing shortages, establishing a European defence) with a critical posture toward broad strategies. Submission A, by contrast, endorses ambitious, long-term investments, institutional reforms, strengthened regulatory and enforcement mechanisms, mission-driven research (including contentious areas like SRM), and systemic foresight—priorities that imply large-scale spending and more complex governance rather than the lean corrective focus implied by Submission B."
Anonymous_1,2025 Strategic Foresight Report,7,0.7,Likely Ally,0.2611591815948486,4,0.4388408184051514,0.4805795907974243,Low,"Both submissions prioritise preserving and promoting Europe’s quality of life through strong healthcare, universal high-quality education, social inclusion and accessible green cities, and view these social goods as core assets for long-term resilience. They also agree the EU must strengthen economic competitiveness by attracting investment and corporate presence and must rebuild credible international leadership, including more effective diplomacy. ","The other submission focuses primarily on social policy, urban quality of life, and pragmatic measures to attract company headquarters and internationalise European firms, whereas the first submission places much greater emphasis on technological sovereignty, emergent-technology governance (AI, biotech, neurotech), climate-intervention research and biosecurity, and institutional reforms for foresight, procurement and enforcement. There is therefore a difference in priorities and policy instruments: one is social- and diplomacy-centred and short-to-medium-term economic attraction, the other is techno‑regulatory, strategic-foresight and defence/innovation-system oriented with stronger emphasis on research infrastructure and risk governance."
Maria Lindqvist,2025 Strategic Foresight Report,6,0.6,Neutral,0.3478921353816986,2,0.25210786461830137,0.4739460676908493,Medium,"Both submissions stress the centrality of democratic engagement: they argue that public discussion, education and inclusive deliberation are necessary to achieve sustainable and legitimate EU policy outcomes. Each sees greater civic participation as a corrective to current policymaking practices and a prerequisite for durable decisions.","They diverge on means and trust: one submission emphasizes structured, evidence-based mechanisms (strategic foresight, regulatory enforcement, mission-driven research and designed participatory processes) while the other calls for broadly opening up debate on contentious topics and implies current institutional suppression. The detailed submission prioritises technical, institutional and expert-led remedies alongside participatory forums, whereas the short submission focuses narrowly on unrestricted public debate without proposing technical governance or evidentiary frameworks."
David Van Geert,2025 Strategic Foresight Report,6,0.6,Likely Ally,0.3375188410282135,2,0.2624811589717865,0.46875942051410674,Medium,"Both submissions prioritise stronger European strategic autonomy, including building domestic industrial capacity (defence and critical materials) and reducing dependence on non‑European suppliers. They also converge on boosting intra‑European trade/integration, protecting and developing nature, and investing in education and skills to increase European resilience and knowledge capacity.","The other submission emphasizes concrete geopolitical moves (Greenland integration, Arctic positioning), an explicit push for a modern nuclear energy programme, and a direct build‑out of a European arms industry, whereas the first submission focuses on governance, regulatory safeguards, mission‑driven R&D (AI, biotech, SRM), precautionary research, and democratic oversight. There is also a difference in emphasis on methods: one favours rapid industrial and territorial strategies, the other prioritises foresight, enforcement, public deliberation, and targeted research infrastructure and procurement reform."
bert hubert,2025 Strategic Foresight Report,7,0.7,Likely Ally,0.2322060614824295,2,0.46779393851757045,0.46610303074121473,Low,"Both submissions identify dependency on non‑European technology providers as a strategic risk and call for policy action to reduce that dependence. They agree the EU should strengthen its technological sovereignty, procurement practices, and enforcement to protect democratic governance and operational continuity.","One submission advances a broad, multi‑sectoral strategy (AI research infrastructure, biotech biofoundries, SRM governance, mental‑health policies, and enhanced foresight) and prefers measured, research‑led and multilateral approaches; the other is narrowly focused and urgent, arguing for immediate operational decoupling from US cloud providers on legal and political grounds. The first emphasises capacity‑building, institutional design and balanced governance, while the second emphasises immediate, pragmatic removal of dependence with a combative tone."
Anonymous_9,2025 Strategic Foresight Report,6,0.6,Neutral,0.3125337958335876,4,0.2874662041664124,0.45626689791679376,Medium,"Both submissions prioritise strengthening Europe’s technological and industrial autonomy (chips/AI/software, reindustrialisation) and increasing R&D and scientific capacity to underpin resilience. They also agree on the need to reform procurement and labour/education systems to support skills, continuous retraining, and economic competitiveness, and identify climate change, demographic change and geopolitical rivalry as core long‑term risks.","They diverge on governance and policy style: one emphasizes faster, more centralized executive powers and streamlined decision‑making to deliver strategic autonomy, while the other stresses strong democratic safeguards, enforcement, inclusive deliberation and precaution (especially around emerging tech and SRM). They also differ on social priorities—one calls for mandatory fiscal/pension reform and merit‑based migration to shore up workforce numbers, whereas the other foregrounds intergenerational equity, participatory mechanisms, mental‑health policy and multilateral, transparent research governance."
Juan Bartolomé García Martínez,2025 Strategic Foresight Report,7,0.7,Likely Ally,0.2083162516355514,3,0.49168374836444856,0.4541581258177757,Low,"Both submissions identify high‑impact systemic risks (including abrupt sunlight reduction / nuclear‑winter type scenarios and infrastructure shocks) as legitimate priorities for EU action and call for stronger preparedness. They converge on the need for publicly funded, mission‑driven R&D, rapid deployment pilots, and international cooperation / trade continuity as central elements of resilience planning. Both also emphasise strengthening scientific monitoring, modelling and early‑warning capabilities to inform policy responses.","The two submissions differ in emphasis and policy focus: one prioritises institutional and governance reforms (democratic safeguards, regulatory enforcement, tech sovereignty, AI/neurotech governance and intergenerational equity) while the other concentrates on operational, technical food‑system solutions (resilient foods, bioindustrial repurposing, seaweed, microalgae, single‑cell protein) and concrete ramp‑up logistics. They also prefer different instrument mixes — centralized enforcement and procurement reform versus national contingency plans, flexible biofuel mandates, stockpiles and rapid construction/pilot projects — and one gives sustained attention to social/mental‑health and democratic processes that the other treats only peripherally."
Joni Suikeli,2025 Strategic Foresight Report,7,0.7,Likely Ally,0.206356018781662,0,0.49364398121833797,0.45317800939083097,Low,"Both submissions prioritise stronger EU responsibility for defence and preparedness, including reducing reliance on external actors and assessing the costs of collective security. They agree on the need to strengthen European cohesion and resilience — including countering internal political forces that erode unity — and on preparing for crises even when conditions appear calm.","The other submission is narrowly focused on hard and soft defence measures, national identity and immediate security costs, whereas the first submission emphasises a broader suite of long‑term policies (technology governance, climate intervention governance, biosecurity, R&D and procurement reform) and institutional foresight mechanisms. They also differ in framing of external threats: one centers state-level geopolitical and military threats and national identity, while the other foregrounds technological, climate and democratic risks and multilevel regulatory responses."
Nicolas Overloop,2025 Strategic Foresight Report,5,0.5,Neutral,0.3963601887226105,2,0.10363981127738953,0.44818009436130524,High,"Both submissions prioritise European strategic autonomy in critical technologies and supply chains and call for stronger domestic capacity in areas such as advanced industry, energy and defence-related sectors. They also converge on the need to mobilise financing and policy levers (procurement, targeted investment, and capital-market reforms) to scale up strategic industries and make Europe more competitive globally.","They sharply diverge on means and safeguards: one submission advocates aggressive, protectionist and expedient measures (tariffs, rapid commercialisation of mineral deposits, fast-tracked permits including use of military domains, and removing net neutrality) to onshore capacity, while the other emphasises democratic oversight, environmental and intergenerational safeguards, multilateral governance, precaution, and transparent public-interest research and enforcement. They also differ in stance toward regulatory trade‑offs—prioritising unilateral industrial expediency versus balanced, rights‑based and deliberative policy-making."
TES,2025 Strategic Foresight Report,6,0.6,Neutral,0.2946440577507019,3,0.3053559422492981,0.44732202887535094,Low,"Both submissions prioritise EU resilience, especially in the energy/climate domain, and call for ambitious decarbonisation targets and milestones toward mid-century. They agree on the need for adequate, predictable financing and clearer implementation of existing EU legislation and market measures to scale low-carbon solutions and strengthen supply security.","They differ on policy instruments and risk framing: one submission emphasizes strategic foresight, strong regulatory oversight, precautionary governance for emerging technologies, and mission-driven public research, while the other prioritises technology-neutral market deployment, simplified funding rules, industry-led scaling (including specific e-fuels and blending mandates) and an industrial decarbonisation bank. There is also a contrast over the role of public intervention versus market mechanisms and over attention to non-energy technological risks (e.g., SRM, AI, biosecurity) which the industry submission does not address."
UAP Coalition Netherlands,2025 Strategic Foresight Report,5,0.5,Neutral,0.3876288831233978,3,0.11237111687660217,0.4438144415616989,High,"Both submissions prioritise strengthening EU resilience through improved monitoring, coordinated research, and evidence-based policy making. They agree on the value of investing in research & innovation, enhancing surveillance/early-warning capacities, fostering international cooperation, and promoting transparency and public trust through open data and participatory reporting mechanisms.","They diverge sharply on priorities and scope: Submission A focuses on mainstream long‑term risks (AI, biotech, neurotech, climate tipping points and SRM governance, procurement and enforcement reforms, and intergenerational equity), while Submission B concentrates almost exclusively on institutionalising responses to Unidentified Anomalous Phenomena (UAP) — including specific legal, aviation‑reporting, space‑surveillance and Horizon funding changes. They also differ in urgency and evidentiary stance: Submission B advocates immediate operational and legislative action on UAP and open repositories, whereas Submission A emphasises precautionary, prioritized research and governance across a broader set of emerging risks."
Philea,2025 Strategic Foresight Report,6,0.6,Likely Ally,0.2792311310768127,3,0.3207688689231873,0.4396155655384063,Low,"Both submissions prioritise long-term strategic foresight and building EU resilience, emphasising intergenerational fairness, inclusive deliberation, and the need for cross-sector collaboration (government, civil society, research and private funders). They also agree on the value of long-term, risk-tolerant investment and innovation to address systemic challenges (climate, social cohesion, health) and on removing barriers to effective cross-border cooperation and funding.","The submissions differ in emphasis and preferred instruments: one stresses technological and defence sovereignty, centralized enforcement, procurement reform, mission-driven public R&D and detailed governance for high-risk domains (SRM, biosecurity, AI), while the other prioritises enabling philanthropy through legal/fiscal simplification, scaling social innovation and partnership roles for foundations. This creates potential tensions over the pace and stringency of regulation (and export/dual-use controls) versus policies that expand philanthropic flexibility to fund experimentation and civil-society driven solutions."
Anonymous_10,2025 Strategic Foresight Report,7,0.7,Likely Ally,0.177625298500061,5,0.5223747014999389,0.4388126492500305,Low,"Both submissions identify concentrated private tech power and data extraction as major systemic risks and call for stronger EU action to counterbalance that influence. They also converge on the centrality of advanced technologies (notably AI) to future resilience and the need for proactive, science-informed EU policy and investment — including preparing for climate-driven migration and the insufficiency of mitigation alone.","One submission places stronger emphasis on democratic safeguards, public oversight, precautionary governance, intergenerational fairness, and sector-specific measures (biosecurity, mental health, SRM research governance), while the other prioritises rapid, technocratic, AI-driven decision-making, flexible policy trade-offs, and concentrated technological programs (e.g., pooling resources toward major tech goals). They also differ in tone on research/ deployment risk: one stresses inclusive deliberation and regulatory enforcement, the other stresses speed, scientific prioritisation and resource-focused responses to meet urgent technical and energy challenges."
Maastricht School of Management,2025 Strategic Foresight Report,6,0.6,Neutral,0.2733089327812195,2,0.3266910672187805,0.43665446639060973,Low,"Both submissions prioritise strengthening EU economic resilience by boosting competitiveness, investment, and secure supply chains, and they see procurement reform as an important policy lever. Both recognise geopolitical competition (US/China and broader geostrategic shifts) and call for more coherent, better‑resourced EU action to translate policy into outcomes (including targeted R&D/aid-for-trade and capacity building).","Submission A emphasises strong regulatory stewardship, democratic safeguards, precautionary and publicly funded research (notably on emerging technologies and climate interventions), strategic foresight and intergenerational equity, while Submission B focuses on trade‑led development through deeper, reciprocal PTAs, bilateral market access, and investment incentives, favouring pragmatic or relaxed conditionality. These differences imply potential tensions over the balance between values‑driven regulation and assertive, bilateral trade/investment tools as the primary route to resilience and development, and they prioritise different geographic and sectoral focuses (emerging tech/biotech/climate vs. EU‑Africa trade and value‑chain upgrading)."
Gabriele De Giorgi,2025 Strategic Foresight Report,6,0.6,Neutral,0.2703935801982879,2,0.32960641980171207,0.4351967900991439,Low,"Both submissions endorse strengthening European cohesion through education, civic engagement and the promotion of shared democratic values; each stresses the importance of engaging young people in shaping Europe’s future. They also align on preserving national identities while building stronger pan‑European bonds and on using institutional action at EU level to foster solidarity and trust.","The proposals diverge on priorities and instruments: one focuses on technical resilience (AI, biotech, climate security, enforcement, procurement reform and large‑scale R&D/infrastructure) and anticipatory governance, while the other focuses narrowly on cultural education, curricula and symbolic holidays to build identity. They therefore imply different resource allocations and policy pathways—structural, regulatory and scientific interventions versus pedagogical and symbolic nation‑building measures."
Special Secretariat of Foresight,2025 Strategic Foresight Report,6,0.6,Neutral,0.2661149501800537,1,0.33388504981994627,0.43305747509002684,Low,"Both submissions prioritise long-term strategic foresight and intergenerational fairness, stressing that policy should account for future demographic and societal impacts. They also converge on the need for stronger policy coordination and more inclusive citizen participation to inform priority-setting.","Submission A places heavy emphasis on emerging-technology governance, climate intervention research, biosecurity, enforcement capacity and procurement-driven innovation, while Submission B is narrowly focused on demographic ageing, fiscal sustainability and the creation of a fiscal-foresight network. Their preferred instruments differ: Submission A advocates regulatory reform, mission-driven research and defence/tech sovereignty measures, whereas Submission B emphasizes fiscal planning, service restructuring for the elderly and policymaker networks."
Transfer Pricing Services SRL,2025 Strategic Foresight Report,4,0.4,Neutral,0.4529992043972015,1,0.05299920439720146,0.4264996021986007,High,Both submissions recognise major medium- and long-term headwinds for the EU—notably demographic pressures and shifting geopolitical/security dynamics—and the need for public institutions to adapt. They each endorse using advanced technologies (including AI) to improve public-sector performance and call for greater transparency and accountability in governance. Both accept that institutional reform is necessary to finance and deliver resilience measures.,"They differ sharply on priorities and policy orientation: one emphasises precautionary regulation, strong enforcement, strategic public R&D, climate intervention governance, and biosecurity, while the other focuses narrowly on tax administration reform, lowering compliance burdens, regulatory sandboxes, and empowering taxpayers (and corporates) through data and AI. The latter’s deregulatory and taxpayer/corporate-empowerment emphasis can conflict with the former’s push for tighter oversight, democratic safeguards, and mission-driven public investment in strategic technologies."
Nicolas Overloop_1,2025 Strategic Foresight Report,6,0.6,Neutral,0.249028593301773,2,0.350971406698227,0.42451429665088647,Low,"Both submissions identify acute geopolitical risks to Europe and call for stronger EU strategic autonomy, including stepped-up defence and security capabilities. They agree on the need to invest in European technological and industrial capacity (including support for Ukrainian defence innovation) and to address internal fragmentation and democratic legitimacy to ensure coherent continental responses.","They diverge sharply on means and priorities: one advocates a primarily hard-power, forward-leaning military posture (naval/air drones, overseas bases, direct force-posture) to secure trade routes, while the other prioritises multilateral governance, regulatory enforcement, ethical oversight, and mission-driven R&D as pathways to resilience. They also differ on institutional reform—one proposes centralising political mandate via direct election to enable decisive action, whereas the other emphasises democratic safeguards, enforcement capacity, and deliberative mechanisms to balance security with rights and long-term stewardship."
Anonymous,2025 Strategic Foresight Report,4,0.4,Neutral,0.4282752573490143,1,0.02827525734901426,0.41413762867450715,High,"Both submissions identify climate change and external geopolitical threats as important challenges to EU resilience and call for the Union to take action to strengthen its capacity to respond. They also share a general emphasis on the need to understand key problems before designing responses (i.e., a diagnostic step or strategic orientation).","Submission A prioritises detailed, governance‑led responses: strengthening democratic safeguards, regulatory enforcement, strategic foresight, and governance of emerging technologies (AI, biotech, SRM), as well as intergenerational equity, mental health, procurement reform and biosecurity. Submission B focuses on traditional security issues (borders, ageing populations) and a 'firm' external stance, offering little detail on technology governance, foresight, or the nuanced climate intervention and research approaches emphasised in Submission A."
Fraunhofer IAO,2025 Strategic Foresight Report,6,0.6,Likely Ally,0.2121764570474624,5,0.38782354295253757,0.40608822852373117,Low,"Both submissions prioritise strengthening Europe’s emerging-technology ecosystems through sustained, long-term investment, development of specialised workforce and industry expertise, and enhanced international cooperation. They also converge on the need to reform structural and administrative barriers (funding mechanisms, procurement and translational pathways) so research more readily converts into commercial and strategic capabilities.","They differ on regulatory posture and breadth of concerns: one submission emphasises stronger enforcement, precautionary governance, democratic oversight and attention to societal risks (e.g., biosecurity, mental health, climate interventions), while the other calls for a less bureaucratic regulatory framework to accelerate innovation. The first advances a broad, cross-sector resilience agenda (climate, biotech, SRM, AI, foresight) whereas the second focuses narrowly on structural enablers for the quantum computing ecosystem."
Francisco José Viturro Barreiro,2025 Strategic Foresight Report,5,0.5,Neutral,0.2825278043746948,4,0.21747219562530518,0.3912639021873474,Medium,"Both submissions call for a stronger EU role in protecting citizens and correcting market failures, emphasising social fairness and the need for policies that reduce cost-of-living pressures and improve prospects for younger generations. Each urges more active public intervention and enforcement to limit harms caused by unregulated markets and to ensure basic wellbeing (housing, energy, health) is safeguarded.","Submission B prioritises a clearly anti‑neoliberal stance: direct market constraints and stronger state intervention in basic goods (housing, food, energy) to curb capitalist excesses. Submission A focuses on technological and strategic resilience (AI, biotech, climate interventions, defence, procurement reform and public‑private R&D), favouring targeted innovation policy and market‑leveraging instruments alongside regulation — creating tension between B’s market‑restriction approach and A’s emphasis on using market/finance tools to drive innovation and strategic autonomy."
Anonymous_8,2025 Strategic Foresight Report,5,0.5,Neutral,0.2456992417573928,0,0.2543007582426072,0.3728496208786964,Medium,Both submissions prioritise strengthening European defence and improving fiscal resilience as part of broader stability efforts. Each treats increased resources for security as a legitimate lever to address budgetary and geopolitical vulnerabilities.,"They differ sharply on who should pay and how funds should be mobilised: one calls for a municipal/city-level levy of 5–6%, while the other advocates EU-level instruments (procurement reform, public–private R&D investment, using pension funds) and stronger central governance with democratic safeguards. The municipal-contribution prescription raises concerns about local fiscal burden, accountability, and distributive fairness that are not addressed by the flat levy proposal."
Ivana Nemčicová,2025 Strategic Foresight Report,3,0.3,Opponent,0.3687523603439331,0,0.06875236034393312,0.3343761801719666,High,"Both submissions prioritise strengthening Europe’s industrial and technological capacity, including support for domestic tech development and maintaining competitiveness. They share concerns about governance and rule of law, and express interest in stronger enforcement or more effective institutions to protect European interests and values. Both also show wariness about foreign influence in technology and an interest in data/privacy protections for citizens.","They sharply diverge on climate and energy policy: one advocates decarbonisation, proactive climate resilience and regulated research on climate interventions, while the other calls for halting the Green Deal, preserving combustion-based infrastructure, and resuming cheap energy imports. They differ on strategic dependencies and geopolitics: one stresses strategic autonomy, multilateral governance and caution about reliance on rivals, the other prioritises pragmatic trade (including with Russia) and rejects current EU policy directions. They also prioritise social policy differently — one emphasises inclusive, intergenerational governance and mental-health-in-all-policies, while the other emphasises stricter border control and a return to traditional economic/diplomatic priorities."
Kai Wellmann,2025 Strategic Foresight Report,5,0.5,Likely Ally,0.1687047928571701,0,0.3312952071428299,0.33435239642858505,Low,Both submissions prioritise strengthening democratic participation and giving citizens—especially children and young people—greater voice in shaping policy. They share an urgent concern for environmental sustainability and the need to act now to secure resilience for future generations.,"They diverge on means and scale: one advocates detailed, research-driven, regulatory and institutional interventions (strategic foresight, targeted R&D, procurement and enforcement reforms, and structured international governance), while the other advances grassroots, behavioural and straightforward measures (education from kindergarten, green roofs, tree‑planting as punishment, and a ban on nuclear power). They also differ in scope and tone—one is technocratic and EU/international in focus, the other is local, moralistic and immediate with little emphasis on complex governance or scientific risk assessment."
Anonymous_2,2025 Strategic Foresight Report,6,0.6,Likely Ally,0.0569004826247692,5,0.5430995173752308,0.3284502413123846,Low,"Both submissions prioritise social fairness and improving access to essential health and welfare services, and they share concern about the affordability pressures households face. Each supports policies that would reduce burdens on vulnerable groups and increase equitable access to basic needs and healthcare-related products.","They differ in scale and emphasis: one submission focuses on immediate, concrete social support (free period products, birth control access, affordable food), while the other emphasises long-term strategic measures, institutional reforms, and technological and security resilience. They also prefer different policy instruments — direct provision and affordability measures versus systemic investment, regulatory restructuring, and strategic foresight."
VLAD HERES,2025 Strategic Foresight Report,3,0.3,Opponent,0.3290414810180664,2,0.029041481018066417,0.3145207405090332,High,"Both submissions prioritise strengthening Europe’s strategic autonomy: reducing critical dependencies (in technology, energy and supply chains), investing in domestic R&D and manufacturing, and beefing up defence and procurement capacity. They also share concern about foreign influence and disinformation campaigns undermining European security and democratic processes, and call for stronger institutional capacity to respond to these threats.","They sharply diverge on means and values: one submission advocates rights‑respecting, multilateral, transparent and precautionary approaches (including democratic oversight, public participation, research governance and social fairness), whereas the other prioritises hardline, unilateral and often coercive measures (cyberattacks, sabotage, deportations, immediate military action and purges of foreign influence). They also disagree on social policy and civil liberties — one emphasises inclusion, mental‑health and intergenerational equity, the other promotes exclusionary immigration policies and alignment with far‑right rhetoric."
José Luis Rajab_1,2025 Strategic Foresight Report,3,0.3,Opponent,0.2754562497138977,4,0.024543750286102284,0.2877281248569489,High,"Both submissions call for stronger EU-level legal and enforcement capacity and greater strategic autonomy, including more robust common rules and enhanced defence capabilities at the EU level. They share an interest in the EU having more global influence and the ability to act cohesively on security and strategic industrial policy.","They diverge sharply on values and methods: Submission B advances exclusionary, xenophobic and unilateral policies (e.g., banning entry of Muslims, punitive trade isolation, hostility toward certain governments), while Submission A emphasizes democratic safeguards, human rights, multilateralism, inclusive deliberation, and rights-respecting governance of technology and climate policy. Submission A prefers evidence-based, precautionary and cooperative approaches (e.g., transparent research, international norms, participatory forums), whereas Submission B advocates nationalist, protectionist and punitive measures that would conflict with those approaches."
José Luis Rajab,2025 Strategic Foresight Report,3,0.3,Opponent,0.2754562497138977,4,0.024543750286102284,0.2877281248569489,High,Both submissions call for stronger EU-level capacities: more coherent common laws or legislation across member states and greater European strategic autonomy in defence and international influence. Each expresses a desire for the EU to act with greater unity and assertiveness on the world stage to protect European interests.,"They diverge sharply on values and means: one submission emphasises democratic safeguards, human rights, inclusive and multilateral governance, evidence-based research, and precautionary regulation of emerging technologies; the other advances exclusionary, xenophobic immigration policies, targeted hostility toward specific external governments and groups, and unilateral protectionist retaliation. The priorities and policy instruments therefore differ profoundly—cooperative, rights-respecting governance versus nationalist, coercive and discriminatory approaches."
Anonymous_6,2025 Strategic Foresight Report,3,0.3,Opponent,0.240739107131958,4,0.05926089286804198,0.270369553565979,High,"Both submissions prioritise protecting and strengthening social goods—notably healthcare, social protection and environmental sustainability—and express concern about the erosion of public services and social safety nets. Both call for greater democratic accountability and for policymaking to better reflect citizens’ needs and well‑being.","They sharply diverge on security and investment priorities: one advocates bolstering defence/strategic autonomy (including onshoring defence production and mobilising investment vehicles) and active tech and procurement policies, while the other rejects investment in armaments and opposes diverting public/pension funds to military purposes. They also differ on fiscal and institutional approaches: one proposes using public and private capital (including pension capital) to finance strategic R&D and resilience infrastructure, whereas the other insists pension and savings must be preserved for retirees and redirected instead toward social services."
Negar RIAHI,2025 Strategic Foresight Report,4,0.4,Neutral,0.1033276543021202,3,0.2966723456978798,0.2516638271510601,Medium,Both submissions support the development and uptake of biotechnology-based innovations for health and stress the importance of regulatory evaluation and market access (CE/FDA approval and health‑economic assessment). They also converge on the idea that new bio-based materials and medical technologies should be considered within healthcare procurement and national evaluation processes. ,"Submission B is a narrow, product-level advocacy for fast adoption of a specific dental hydroxyapatite resin and emphasizes immediate clinical use and procurement, often making strong efficacy claims; Submission A takes a systemic, risk‑aware stance, prioritising mission‑driven public research, biosecurity, enforcement, independent evidence generation and precaution. CFG stresses strategic priorities (strategic autonomy, biofoundry networks, export controls, governance of dual‑use biotech and broader foresight tools) that are largely absent from the product-focused submission, which does not engage with biosecurity, governance or large-scale resilience planning."
