Organization_A,Organization_B,Initiative_A,Initiative_B,Similarity_Score,Cluster_A,Cluster_B,Same_Cluster
CHEM Trust,The Centre for Future Generations,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5427562,3,3,True
Kieran DALTON,Special Secretariat of Foresight,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.54257756,2,1,False
Association internationale Futuribles,Transfer Pricing Services SRL,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.542168,3,1,False
Nicolas Overloop,SUEZ,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5404099,2,2,True
ECOLAB,Egmont - Royal Institute for International Relations,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5402413,2,3,False
EuroStack Project,FutuRes Towards a Resilient Future of Europe Horizon Europe funded project,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.53980553,3,1,False
Agroecology Europe,Nicolas Overloop,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.53970265,3,2,False
Anonymous,ECOLAB,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.53966874,1,2,False
EuroStack Project,Ivana Nemčicová,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5373902,3,0,False
CHEM Trust,Xylem,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5369737,3,2,False
Anonymous_3,Melanoma Patient Network Europe,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5369314,2,1,False
Transfer Pricing Services SRL,UNESPA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5356509,1,3,False
Anonymous_5,Transfer Pricing Services SRL,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5354034,2,1,False
CHEM Trust,UAP Coalition Netherlands,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5341762,3,3,True
F Hanna Campbell,Kieran DALTON,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.53355205,3,2,False
Egmont - Royal Institute for International Relations,FutuRes Towards a Resilient Future of Europe Horizon Europe funded project,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.53353506,3,1,False
Gaël QUEINNEC,Ioannis Lamprou,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.53351647,4,3,False
Agroecology Europe,Xylem,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5331539,3,2,False
Association internationale Futuribles,Ministry of the Economy Luxembourg,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.53307456,3,3,True
Anonymous_5,EuroStack Project,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.53288144,2,3,False
Adrien Cadiot EI,UNESPA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.53286636,1,3,False
Anonymous_5,Kevin Bradley,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.532792,2,2,True
EU-LIFE - Alliance of Independent Research Institutes in the Life Sciences in Europe,SUEZ,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5326276,3,2,False
Anonymous_3,Ioannis Lamprou,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.53187543,2,3,False
Anonymous,David Van Geert,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5315329,1,2,False
Bankenverband,SPES project - Sustainabilty Performances Evidence and Scenarios,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5314522,3,3,True
Agroecology Europe,SUEZ,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.53083736,3,2,False
EuroStack Project,SUEZ,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.530461,3,2,False
Davy Anthonissen,Nicolas Overloop,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.52979505,2,2,True
NA,SUEZ,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5297659,1,2,False
Bankenverband,EUPHA European Public Health Association,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.52929413,3,3,True
CHEM Trust,Kieran DALTON,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.52922416,3,2,False
Andre REBENTISCH,Office of the Government and Government of the Republic of Lithuania and Strategic Analysis Center S,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5286502,2,1,False
Andre REBENTISCH,Kevin Bradley,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5283516,2,2,True
Egmont - Royal Institute for International Relations,GROUPE VYV,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5280352,3,3,True
Andre REBENTISCH,EuroStack Project,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.52754223,2,3,False
Bankenverband,Xylem,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5272778,3,2,False
Transfer Pricing Services SRL,Xylem,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5269147,1,2,False
Ioannis Lamprou,SPES project - Sustainabilty Performances Evidence and Scenarios,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5268928,3,3,True
TES,TNO,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.52668,3,3,True
Adrien Cadiot EI,FutuRes Towards a Resilient Future of Europe Horizon Europe funded project,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5266019,1,1,True
Anonymous_3,Egmont - Royal Institute for International Relations,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5264915,2,3,False
Anonymous_5,Sanja Terlevic,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.52648556,2,2,True
Instituto Nacional de Administração IP Portugal,Simon Önnered,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5260532,3,3,True
Maria Lindqvist,Office of the Government and Government of the Republic of Lithuania and Strategic Analysis Center S,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.525555,2,1,False
Agroecology Europe,Gaël QUEINNEC,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5255332,3,4,False
Ioannis Lamprou,Xylem,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.52549803,3,2,False
Bankenverband,FutuRes Towards a Resilient Future of Europe Horizon Europe funded project,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.52529365,3,1,False
Anonymous_5,EU-LIFE - Alliance of Independent Research Institutes in the Life Sciences in Europe,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.524598,2,3,False
Esteban Carlos Borzino,José Luis Rajab,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.52396864,4,4,True
Esteban Carlos Borzino,José Luis Rajab_1,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.52396864,4,4,True
AMALIA MARIA KOUTSOGIANNI,Special Secretariat of Foresight,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.52344227,1,1,True
ECOLAB,TES,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.52337307,2,3,False
EUPHA European Public Health Association,Sanja Terlevic,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.52291465,3,2,False
Agroecology Europe,Maria Lindqvist,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.52288735,3,2,False
Andre REBENTISCH,Ioannis Lamprou,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5220876,2,3,False
ASOCIACION INDUSTRIAL DE CANARIAS ASINCA,TNO,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5219444,3,3,True
Adrien Cadiot EI,Anonymous_3,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.52182376,1,2,False
Anonymous_5,TNO,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.521648,2,3,False
Agroecology Europe,GROUPE VYV,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5207416,3,3,True
Kieran DALTON,VLAD HERES,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5206955,2,2,True
David Van Geert,Office of the Government and Government of the Republic of Lithuania and Strategic Analysis Center S,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.52038574,2,1,False
Association internationale Futuribles,Sanja Terlevic,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.52011645,3,2,False
Nicolas Overloop,VLAD HERES,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5185192,2,2,True
ECOLAB,EU-LIFE - Alliance of Independent Research Institutes in the Life Sciences in Europe,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.51829386,2,3,False
Bankenverband,SUEZ,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.51823115,3,2,False
CHEM Trust,ECOLAB,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5182081,3,2,False
ECOLAB,TNO,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.51785386,2,3,False
Anonymous_5,Nicolas Overloop_1,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5176568,2,2,True
Ministry of the Economy Luxembourg,NA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.51758283,3,1,False
Maria Lindqvist,NA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5175699,2,1,False
TNO Vector,TNO,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5174825,3,3,True
Ioannis Lamprou,VLAD HERES,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.51711977,3,2,False
TNO,UNESPA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.51707405,3,3,True
Transfer Pricing Services SRL,UAP Coalition Netherlands,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.51704645,1,3,False
Anonymous_9,José Luis Rajab_1,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5170334,4,4,True
Anonymous_9,José Luis Rajab,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5170334,4,4,True
TNO,Xylem,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5166048,3,2,False
Ivana Nemčicová,Office of the Government and Government of the Republic of Lithuania and Strategic Analysis Center S,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5165885,0,1,False
Gabriele De Giorgi,Kieran DALTON,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5164889,2,2,True
Kieran DALTON,SUEZ,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.516167,2,2,True
EUPHA European Public Health Association,F Hanna Campbell,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5150153,3,3,True
Adrien Cadiot EI,SPES project - Sustainabilty Performances Evidence and Scenarios,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5150143,1,3,False
Anonymous,Gaël QUEINNEC,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5149548,1,4,False
Anonymous_3,Transfer Pricing Services SRL,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5149245,2,1,False
ECOLAB,Office of the Government and Government of the Republic of Lithuania and Strategic Analysis Center S,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.51456934,2,1,False
Anonymous_3,ZOE Institute for Future-fit Economies,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5143787,2,1,False
Agroecology Europe,FutuRes Towards a Resilient Future of Europe Horizon Europe funded project,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5142094,3,1,False
Instituto Nacional de Administração IP Portugal,UNESPA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5140194,3,3,True
Anonymous_11,Anonymous_4,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5134791,4,4,True
Gaël QUEINNEC,Office of the Government and Government of the Republic of Lithuania and Strategic Analysis Center S,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5133513,4,1,False
Andre REBENTISCH,Anonymous,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5130549,2,1,False
NA,SPES project - Sustainabilty Performances Evidence and Scenarios,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5128856,1,3,False
Anonymous_4,José Luis Rajab_1,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5127108,4,4,True
Anonymous_4,José Luis Rajab,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5127108,4,4,True
FutuRes Towards a Resilient Future of Europe Horizon Europe funded project,NA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5123622,1,1,True
AMALIA MARIA KOUTSOGIANNI,Xylem,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.51202136,1,2,False
Sanja Terlevic,SPES project - Sustainabilty Performances Evidence and Scenarios,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.51187253,2,3,False
Anonymous,Anonymous_5,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5116954,1,2,False
Andre REBENTISCH,Sanja Terlevic,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5111805,2,2,True
ASOCIACION INDUSTRIAL DE CANARIAS ASINCA,Kansaneläkelaitos Kela,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.51115286,3,0,False
Egmont - Royal Institute for International Relations,TES,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.51079345,3,3,True
Ministry of the Economy Luxembourg,Office of the Government and Government of the Republic of Lithuania and Strategic Analysis Center S,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5104112,3,1,False
SPES project - Sustainabilty Performances Evidence and Scenarios,The Centre for Future Generations,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5103842,3,3,True
Adrien Cadiot EI,Gaël QUEINNEC,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5098864,1,4,False
Office of the Government and Government of the Republic of Lithuania and Strategic Analysis Center S,UNESPA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5089952,1,3,False
Nicolas Overloop,Transfer Pricing Services SRL,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5088622,2,1,False
EU-LIFE - Alliance of Independent Research Institutes in the Life Sciences in Europe,Maria Lindqvist,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.50857925,3,2,False
AMALIA MARIA KOUTSOGIANNI,UNESPA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5082526,1,3,False
EU-LIFE - Alliance of Independent Research Institutes in the Life Sciences in Europe,Nicolas Overloop,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5072651,3,2,False
Ivana Nemčicová,Kieran DALTON,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5068144,0,2,False
Kevin Bradley,SUEZ,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5064013,2,2,True
Anonymous_3,Sanja Terlevic,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5063909,2,2,True
UAP Coalition Netherlands,UNESPA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.50598633,3,3,True
EuroStack Project,UNESPA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5052085,3,3,True
UNESPA,ZOE Institute for Future-fit Economies,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5051161,3,1,False
Office of the Government and Government of the Republic of Lithuania and Strategic Analysis Center S,VLAD HERES,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5050651,1,2,False
Davy Anthonissen,TNO,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5048359,2,3,False
Bankenverband,Gaël QUEINNEC,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.50470716,3,4,False
Andre REBENTISCH,NA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.50459456,2,1,False
Anonymous_5,Davy Anthonissen,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5045496,2,2,True
Egmont - Royal Institute for International Relations,Maria Lindqvist,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.504491,3,2,False
NA,Xylem,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.50425935,1,2,False
David Van Geert,Maria Lindqvist,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.50406986,2,2,True
F Hanna Campbell,SPES project - Sustainabilty Performances Evidence and Scenarios,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.50380254,3,3,True
David Van Geert,NA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.50349677,2,1,False
Davy Anthonissen,Kevin Bradley,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.50344384,2,2,True
Ministry of the Economy Luxembourg,Sanja Terlevic,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.50338733,3,2,False
Kevin Bradley,TNO Vector,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.50332665,2,3,False
Anonymous_5,F Hanna Campbell,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5029175,2,3,False
Adrien Cadiot EI,The Centre for Future Generations,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5028346,1,3,False
Sanja Terlevic,The Centre for Future Generations,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5026959,2,3,False
Egmont - Royal Institute for International Relations,Ivana Nemčicová,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5023144,3,0,False
CHEM Trust,SUEZ,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5021454,3,2,False
Adrien Cadiot EI,Kevin Bradley,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5020591,1,2,False
Andre REBENTISCH,Egmont - Royal Institute for International Relations,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5018382,2,3,False
Anonymous_3,Bankenverband,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5017252,2,3,False
AMALIA MARIA KOUTSOGIANNI,Association internationale Futuribles,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.50161123,1,3,False
EU-LIFE - Alliance of Independent Research Institutes in the Life Sciences in Europe,Gaël QUEINNEC,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5007368,3,4,False
EUPHA European Public Health Association,SPES project - Sustainabilty Performances Evidence and Scenarios,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5002751,3,3,True
Adrien Cadiot EI,Andre REBENTISCH,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.4998961,1,2,False
Anonymous_3,Nicolas Overloop,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.49969894,2,2,True
FutuRes Towards a Resilient Future of Europe Horizon Europe funded project,Sanja Terlevic,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.49947077,1,2,False
NA,The Centre for Future Generations,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.49913555,1,3,False
Anonymous_5,Egmont - Royal Institute for International Relations,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.49894392,2,3,False
ASOCIACION INDUSTRIAL DE CANARIAS ASINCA,Instituto Nacional de Administração IP Portugal,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.49850076,3,3,True
Anonymous_5,Maria Lindqvist,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.4984845,2,2,True
Egmont - Royal Institute for International Relations,TNO Vector,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.4980207,3,3,True
Anonymous,EUPHA European Public Health Association,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.4978273,1,3,False
Anonymous_5,Bankenverband,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.49731538,2,3,False
Anonymous_3,David Van Geert,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.49706423,2,2,True
Anonymous,F Hanna Campbell,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.49688286,1,3,False
Ioannis Lamprou,Ivana Nemčicová,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.49680948,3,0,False
Maria Lindqvist,Nicolas Overloop,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.4961559,2,2,True
Kevin Bradley,Xylem,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.49599546,2,2,True
EU-LIFE - Alliance of Independent Research Institutes in the Life Sciences in Europe,FutuRes Towards a Resilient Future of Europe Horizon Europe funded project,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.4954481,3,1,False
Anonymous_3,TNO,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.49526137,2,3,False
Agroecology Europe,Anonymous_5,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.4952353,3,2,False
Ministry of the Economy Luxembourg,UAP Coalition Netherlands,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.49520302,3,3,True
Office of the Government and Government of the Republic of Lithuania and Strategic Analysis Center S,TNO Vector,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.49517027,1,3,False
Transfer Pricing Services SRL,VLAD HERES,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.4945125,1,2,False
Ivana Nemčicová,NA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.49361324,0,1,False
Davy Anthonissen,Ioannis Lamprou,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.49356747,2,3,False
Agroecology Europe,Anonymous_3,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.49347633,3,2,False
Bankenverband,TNO Vector,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.49325466,3,3,True
Ivana Nemčicová,TNO,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.49321324,0,3,False
TNO Vector,UAP Coalition Netherlands,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.4931883,3,3,True
Instituto Nacional de Administração IP Portugal,TNO Vector,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.4930667,3,3,True
Instituto Nacional de Administração IP Portugal,Kieran DALTON,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.4929189,3,2,False
Maria Lindqvist,Sanja Terlevic,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.49252665,2,2,True
UAP Coalition Netherlands,ZOE Institute for Future-fit Economies,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.49217,3,1,False
Anonymous,UNESPA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.491813,1,3,False
Agroecology Europe,TNO Vector,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.49110302,3,3,True
Anonymous_1,Gaël QUEINNEC,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.49106383,4,4,True
EuroStack Project,Gaël QUEINNEC,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.49047554,3,4,False
Davy Anthonissen,Office of the Government and Government of the Republic of Lithuania and Strategic Analysis Center S,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.49043077,2,1,False
Anonymous_3,Davy Anthonissen,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.490056,2,2,True
TNO,VLAD HERES,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.4897983,3,2,False
Anonymous_3,EU-LIFE - Alliance of Independent Research Institutes in the Life Sciences in Europe,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.48974654,2,3,False
Anonymous_5,VLAD HERES,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.48945332,2,2,True
Association internationale Futuribles,UAP Coalition Netherlands,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.4887859,3,3,True
Andre REBENTISCH,F Hanna Campbell,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.48870522,2,3,False
SPES project - Sustainabilty Performances Evidence and Scenarios,ZOE Institute for Future-fit Economies,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.48865354,3,1,False
EuroStack Project,Maria Lindqvist,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.48822552,3,2,False
ASOCIACION INDUSTRIAL DE CANARIAS ASINCA,UNESPA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.4881348,3,3,True
Andre REBENTISCH,Kieran DALTON,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.48775584,2,2,True
Davy Anthonissen,Kieran DALTON,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.48767912,2,2,True
EU-LIFE - Alliance of Independent Research Institutes in the Life Sciences in Europe,Ministry of the Economy Luxembourg,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.48659492,3,3,True
Anonymous_9,Esteban Carlos Borzino,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.48604012,4,4,True
Anonymous,Special Secretariat of Foresight,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.48588425,1,1,True
Matthew Spaniol,Sanja Terlevic,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.48560166,1,2,False
SUEZ,ZOE Institute for Future-fit Economies,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.48529625,2,1,False
ASOCIACION INDUSTRIAL DE CANARIAS ASINCA,Transfer Pricing Services SRL,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.48506325,3,1,False
Davy Anthonissen,Sanja Terlevic,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.48504007,2,2,True
NA,VLAD HERES,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.48495415,1,2,False
Ministry of the Economy Luxembourg,ZOE Institute for Future-fit Economies,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.48423702,3,1,False
Anonymous_3,FutuRes Towards a Resilient Future of Europe Horizon Europe funded project,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.48415804,2,1,False
The Centre for Future Generations,Transfer Pricing Services SRL,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.48321056,3,1,False
Anonymous,CHEM Trust,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.48319185,1,3,False
CHEM Trust,Maria Lindqvist,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.4830805,3,2,False
Anonymous,Maria Lindqvist,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.48279107,1,2,False
Anonymous_11,Association internationale Futuribles,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.48268133,4,3,False
Bankenverband,UNESPA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.48244935,3,3,True
AMALIA MARIA KOUTSOGIANNI,Instituto Nacional de Administração IP Portugal,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.48167658,1,3,False
The Centre for Future Generations,ZOE Institute for Future-fit Economies,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.4816751,3,1,False
Andre REBENTISCH,Bankenverband,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.48049447,2,3,False
EUPHA European Public Health Association,Maria Lindqvist,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.4803729,3,2,False
Association internationale Futuribles,UNESPA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.48016655,3,3,True
Agroecology Europe,Ivana Nemčicová,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.48016155,3,0,False
FutuRes Towards a Resilient Future of Europe Horizon Europe funded project,Xylem,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.48000932,1,2,False
Anonymous_5,Instituto Nacional de Administração IP Portugal,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.47960436,2,3,False
Maria Lindqvist,Melanoma Patient Network Europe,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.47942162,2,1,False
David Van Geert,TNO,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.4793985,2,3,False
David Van Geert,Gabriele De Giorgi,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.47935236,2,2,True
Ioannis Lamprou,The Centre for Future Generations,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.47915787,3,3,True
Bankenverband,ECOLAB,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.47873345,3,2,False
Agroecology Europe,TES,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.47818524,3,3,True
SPES project - Sustainabilty Performances Evidence and Scenarios,UAP Coalition Netherlands,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.47772324,3,3,True
Ivana Nemčicová,Joni Suikeli,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.4774682,0,0,True
