CFG_Submission,CFG_Initiative,CFG_Cluster,Compared_Organization,Compared_Initiative,Compared_Cluster,Similarity_Score,Same_Cluster
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Ministry of the Economy Luxembourg,2025 Strategic Foresight Report,6,0.48277175426483154,False
The Centre for Future Generations,2025 Strategic Foresight Report,4,ZOE Institute for Future-fit Economies,2025 Strategic Foresight Report,6,0.48167508840560913,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,MIDAS Ireland,Evaluation and Revision of the Chips Act Chips Act 20,0,0.48075589537620544,False
The Centre for Future Generations,2025 Strategic Foresight Report,4,Ioannis Lamprou,2025 Strategic Foresight Report,6,0.47915786504745483,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Agroecology Europe,2025 Strategic Foresight Report,10,0.47914034128189087,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Institute for Applied Microelectronics IUMA - Univ Las Palmas GC,Evaluation and Revision of the Chips Act Chips Act 20,0,0.478054404258728,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Pavan Rao,Evaluation and Revision of the Chips Act Chips Act 20,0,0.4780084192752838,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,CHEM Trust,2025 Strategic Foresight Report,10,0.47393354773521423,False
The Centre for Future Generations,2025 Strategic Foresight Report,4,GROUPE VYV,2025 Strategic Foresight Report,4,0.4731510877609253,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Instituto Nacional de Administração IP Portugal,2025 Strategic Foresight Report,10,0.47166308760643005,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Flexiramics BV,Evaluation and Revision of the Chips Act Chips Act 20,5,0.4711917042732239,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,The Swedish Agency for Economic and Regional Growth,Evaluation and Revision of the Chips Act Chips Act 20,3,0.4710082709789276,False
The Centre for Future Generations,2025 Strategic Foresight Report,4,Association internationale Futuribles,2025 Strategic Foresight Report,10,0.4708121716976166,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,KU Leuven,Evaluation and Revision of the Chips Act Chips Act 20,0,0.47020459175109863,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Lund Univeristy,Evaluation and Revision of the Chips Act Chips Act 20,5,0.4669426381587982,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,EU-LIFE - Alliance of Independent Research Institutes in the Life Sciences in Europe,2025 Strategic Foresight Report,10,0.4669249355792999,False
The Centre for Future Generations,2025 Strategic Foresight Report,4,EuroStack Project,2025 Strategic Foresight Report,6,0.46613162755966187,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,FabCat,Evaluation and Revision of the Chips Act Chips Act 20,5,0.46396133303642273,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,Simon Önnered,2025 Strategic Foresight Report,0,0.4636906385421753,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,INVENTEC PERFORMANCE CHEMICALS,Evaluation and Revision of the Chips Act Chips Act 20,7,0.4635316729545593,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,CEA,Evaluation and Revision of the Chips Act Chips Act 20,9,0.4570169448852539,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Kieran DALTON,2025 Strategic Foresight Report,6,0.4558068811893463,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Anonymous_3,Evaluation and Revision of the Chips Act Chips Act 20,9,0.4544410705566406,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Transfer Pricing Services SRL,2025 Strategic Foresight Report,6,0.45173048973083496,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Anonymous_5,2025 Strategic Foresight Report,6,0.45018529891967773,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Elviaelectronics,Evaluation and Revision of the Chips Act Chips Act 20,7,0.4488070011138916,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,AFNUM,Evaluation and Revision of the Chips Act Chips Act 20,9,0.4472067654132843,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,CIRLY,Evaluation and Revision of the Chips Act Chips Act 20,9,0.44606760144233704,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,Anonymous_5,Evaluation and Revision of the Chips Act Chips Act 20,0,0.4452400505542755,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,SK-CHIPS,Evaluation and Revision of the Chips Act Chips Act 20,0,0.4445269703865051,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,SNESE,Evaluation and Revision of the Chips Act Chips Act 20,9,0.44242388010025024,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,The university of glasgow,Evaluation and Revision of the Chips Act Chips Act 20,0,0.4407426714897156,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,SEMI Europe,Evaluation and Revision of the Chips Act Chips Act 20,3,0.4372478723526001,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,IQM Quantum Computers,Evaluation and Revision of the Chips Act Chips Act 20,5,0.4367738366127014,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,University of Extremadura,Evaluation and Revision of the Chips Act Chips Act 20,0,0.4314378499984741,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,ALMAE TECHNOLOGIES SAS,Evaluation and Revision of the Chips Act Chips Act 20,5,0.4307396113872528,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,Logiicdev GmbH_1,Evaluation and Revision of the Chips Act Chips Act 20,5,0.4300271272659302,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Logiicdev Gmbh,Evaluation and Revision of the Chips Act Chips Act 20,0,0.42946308851242065,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,Federation of German Industries BDI,Evaluation and Revision of the Chips Act Chips Act 20,3,0.4294387102127075,False
The Centre for Future Generations,2025 Strategic Foresight Report,4,Office of the Government and Government of the Republic of Lithuania and Strategic Analysis Center S,2025 Strategic Foresight Report,6,0.42762044072151184,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,Technology Industries of Finland,Evaluation and Revision of the Chips Act Chips Act 20,3,0.42674684524536133,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Openchip  SW Technologies,Evaluation and Revision of the Chips Act Chips Act 20,0,0.42673999071121216,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,KuasaSemi Ltd,Evaluation and Revision of the Chips Act Chips Act 20,5,0.42628830671310425,False
The Centre for Future Generations,2025 Strategic Foresight Report,4,Kevin Bradley,2025 Strategic Foresight Report,6,0.42489200830459595,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Heidelberg University_1,Evaluation and Revision of the Chips Act Chips Act 20,0,0.42410144209861755,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,Quintauris,Evaluation and Revision of the Chips Act Chips Act 20,3,0.42395395040512085,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,Synopsys,Evaluation and Revision of the Chips Act Chips Act 20,3,0.4237403869628906,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,Axis Communications,Evaluation and Revision of the Chips Act Chips Act 20,0,0.4236989915370941,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,ZOE Institute for Future-fit Economies,2025 Strategic Foresight Report,6,0.4236792027950287,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Polar Light Technologies AB,Evaluation and Revision of the Chips Act Chips Act 20,5,0.4236171245574951,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,Dublin City University,Evaluation and Revision of the Chips Act Chips Act 20,0,0.4232279062271118,False
The Centre for Future Generations,2025 Strategic Foresight Report,4,Airbus,Evaluation and Revision of the Chips Act Chips Act 20,3,0.422139048576355,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,AFNUM,Evaluation and Revision of the Chips Act Chips Act 20,9,0.42159503698349,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,F Hanna Campbell,2025 Strategic Foresight Report,6,0.42155721783638,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,ECOLAB,2025 Strategic Foresight Report,10,0.42067018151283264,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,Brabant Development Agency BOM,Evaluation and Revision of the Chips Act Chips Act 20,3,0.41968756914138794,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,VLC Photonics,Evaluation and Revision of the Chips Act Chips Act 20,6,0.41945701837539673,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,CSEM_1,Evaluation and Revision of the Chips Act Chips Act 20,5,0.4180946350097656,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,Eclipse Foundation AISBL,Evaluation and Revision of the Chips Act Chips Act 20,3,0.4171372652053833,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Office of the Government and Government of the Republic of Lithuania and Strategic Analysis Center S,2025 Strategic Foresight Report,6,0.4164065420627594,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,Sanja Terlevic,2025 Strategic Foresight Report,6,0.4158846437931061,False
The Centre for Future Generations,2025 Strategic Foresight Report,4,Finnish Chip Competence Centre,Evaluation and Revision of the Chips Act Chips Act 20,7,0.415523886680603,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,TES,2025 Strategic Foresight Report,10,0.4137382507324219,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Andre REBENTISCH,2025 Strategic Foresight Report,6,0.4137319326400757,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Adrien Cadiot EI,2025 Strategic Foresight Report,6,0.4133118987083435,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,KuasaSemi Ltd,Evaluation and Revision of the Chips Act Chips Act 20,5,0.41262519359588623,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,ASOCIACION INDUSTRIAL DE CANARIAS ASINCA,2025 Strategic Foresight Report,10,0.4126114845275879,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,Orgalim - Europes Technology Industries,Evaluation and Revision of the Chips Act Chips Act 20,3,0.4121696949005127,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,UAP Coalition Netherlands,2025 Strategic Foresight Report,10,0.4121131896972656,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Anonymous_7,Evaluation and Revision of the Chips Act Chips Act 20,9,0.4120166599750519,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,Research Council of Norway,Evaluation and Revision of the Chips Act Chips Act 20,0,0.41187942028045654,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Zeiss,Evaluation and Revision of the Chips Act Chips Act 20,0,0.41153839230537415,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,University of Twente,Evaluation and Revision of the Chips Act Chips Act 20,0,0.4106048047542572,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,UNESPA,2025 Strategic Foresight Report,6,0.4103735685348511,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Forschungszentrum Jülich GmbH_1,Evaluation and Revision of the Chips Act Chips Act 20,5,0.4092525541782379,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Markus Weber,Evaluation and Revision of the Chips Act Chips Act 20,5,0.4085819721221924,False
The Centre for Future Generations,2025 Strategic Foresight Report,4,European Quantum Industry Consortium eV QuIC,Evaluation and Revision of the Chips Act Chips Act 20,4,0.4083949625492096,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,The Centre for Future Generations,2025 Strategic Foresight Report,4,0.408214807510376,False
The Centre for Future Generations,2025 Strategic Foresight Report,4,Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,0.408214807510376,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Silicon Alps Cluster GmbH,Evaluation and Revision of the Chips Act Chips Act 20,5,0.40808194875717163,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,Openchip  SW Technologies,Evaluation and Revision of the Chips Act Chips Act 20,0,0.4070854187011719,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Politecnico di Torino_1,Evaluation and Revision of the Chips Act Chips Act 20,6,0.40633541345596313,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,FabCat,Evaluation and Revision of the Chips Act Chips Act 20,5,0.4048258066177368,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,Nicolas Overloop_1,Evaluation and Revision of the Chips Act Chips Act 20,0,0.40435534715652466,False
The Centre for Future Generations,2025 Strategic Foresight Report,4,University of Twente,Evaluation and Revision of the Chips Act Chips Act 20,0,0.40408748388290405,False
The Centre for Future Generations,2025 Strategic Foresight Report,4,UAP Coalition Netherlands,2025 Strategic Foresight Report,10,0.4016200304031372,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,SPES project - Sustainabilty Performances Evidence and Scenarios,2025 Strategic Foresight Report,10,0.40122324228286743,False
The Centre for Future Generations,2025 Strategic Foresight Report,4,Ministry of the Economy Luxembourg,2025 Strategic Foresight Report,6,0.40103384852409363,False
The Centre for Future Generations,2025 Strategic Foresight Report,4,Orgalim - Europes Technology Industries,Evaluation and Revision of the Chips Act Chips Act 20,3,0.40073883533477783,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,KTH Royal Institute of Technology,Evaluation and Revision of the Chips Act Chips Act 20,3,0.4006340503692627,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,Region Skåne,Evaluation and Revision of the Chips Act Chips Act 20,1,0.40055862069129944,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,Spanish Working Group on European Chips Act 20,Evaluation and Revision of the Chips Act Chips Act 20,3,0.4004961848258972,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,PolicyPhantom UNKNOWN,Evaluation and Revision of the Chips Act Chips Act 20,3,0.3997162878513336,False
The Centre for Future Generations,2025 Strategic Foresight Report,4,Bankenverband,2025 Strategic Foresight Report,6,0.39931556582450867,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,SUEZ,2025 Strategic Foresight Report,10,0.3984741270542145,False
The Centre for Future Generations,2025 Strategic Foresight Report,4,Estonian Electronics Industries Association,Evaluation and Revision of the Chips Act Chips Act 20,3,0.3966284692287445,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,Acció - the Catalan Government agency for business competitiveness,Evaluation and Revision of the Chips Act Chips Act 20,3,0.3949117660522461,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,Tampere Region EU Office,Evaluation and Revision of the Chips Act Chips Act 20,3,0.3949117660522461,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,TLT-PCB,Evaluation and Revision of the Chips Act Chips Act 20,7,0.3940235674381256,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,AUMOVIO SE,Evaluation and Revision of the Chips Act Chips Act 20,3,0.3938693404197693,False
The Centre for Future Generations,2025 Strategic Foresight Report,4,Matthew Spaniol,2025 Strategic Foresight Report,4,0.3924066722393036,True
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,Anonymous_4,Evaluation and Revision of the Chips Act Chips Act 20,0,0.39217984676361084,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Simon Önnered,2025 Strategic Foresight Report,0,0.39083370566368103,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Xylem,2025 Strategic Foresight Report,10,0.39073872566223145,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,Pavan Rao,Evaluation and Revision of the Chips Act Chips Act 20,0,0.3887372314929962,False
The Centre for Future Generations,2025 Strategic Foresight Report,4,ASOCIACION INDUSTRIAL DE CANARIAS ASINCA,2025 Strategic Foresight Report,10,0.38771307468414307,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Eindhoven University of Technology,Evaluation and Revision of the Chips Act Chips Act 20,5,0.38766416907310486,False
The Centre for Future Generations,2025 Strategic Foresight Report,4,Federation of German Industries BDI,Evaluation and Revision of the Chips Act Chips Act 20,3,0.38722676038742065,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,Kevin Bradley,2025 Strategic Foresight Report,6,0.3871654272079468,False
The Centre for Future Generations,2025 Strategic Foresight Report,4,Photonics21 Association,Evaluation and Revision of the Chips Act Chips Act 20,5,0.3871316611766815,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,VLAD HERES,2025 Strategic Foresight Report,6,0.38653555512428284,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,Cimulec Group,Evaluation and Revision of the Chips Act Chips Act 20,7,0.386229932308197,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Region Skåne,Evaluation and Revision of the Chips Act Chips Act 20,1,0.3855987787246704,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,Eurocircuits,Evaluation and Revision of the Chips Act Chips Act 20,3,0.38559216260910034,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,Semiconductor Industry Association,Evaluation and Revision of the Chips Act Chips Act 20,3,0.38553813099861145,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,Oost NL ea,Evaluation and Revision of the Chips Act Chips Act 20,3,0.3851075768470764,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,University of Catania - Italy,Evaluation and Revision of the Chips Act Chips Act 20,5,0.38457584381103516,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,Airbus,Evaluation and Revision of the Chips Act Chips Act 20,3,0.3821088671684265,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,MICROLA OPTOELECTRONICS SRL,Evaluation and Revision of the Chips Act Chips Act 20,9,0.38112872838974,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Istituto Nazionale di Fisica Nucleare INFN,Evaluation and Revision of the Chips Act Chips Act 20,5,0.3810182511806488,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,Robert Bosch GmbH,Evaluation and Revision of the Chips Act Chips Act 20,3,0.3803256154060364,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,Siemens AG,Evaluation and Revision of the Chips Act Chips Act 20,3,0.3801659643650055,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,APTE,Evaluation and Revision of the Chips Act Chips Act 20,0,0.3797057569026947,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,75inQ,Evaluation and Revision of the Chips Act Chips Act 20,5,0.37895649671554565,False
The Centre for Future Generations,2025 Strategic Foresight Report,4,Kalray,Evaluation and Revision of the Chips Act Chips Act 20,3,0.37886032462120056,False
The Centre for Future Generations,2025 Strategic Foresight Report,4,The Swedish Agency for Economic and Regional Growth,Evaluation and Revision of the Chips Act Chips Act 20,3,0.3785880208015442,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,European Space Component Coordination Component Technology Board,Evaluation and Revision of the Chips Act Chips Act 20,3,0.37845379114151,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,Kalray,Evaluation and Revision of the Chips Act Chips Act 20,3,0.3784239888191223,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,TEMATYS,Evaluation and Revision of the Chips Act Chips Act 20,5,0.3782868981361389,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,TNO,2025 Strategic Foresight Report,6,0.37813615798950195,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,German Association of the Automotive Industry VDA,Evaluation and Revision of the Chips Act Chips Act 20,3,0.37691497802734375,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,EUPHA European Public Health Association,2025 Strategic Foresight Report,4,0.37673088908195496,False
The Centre for Future Generations,2025 Strategic Foresight Report,4,Jordan Leung,Evaluation and Revision of the Chips Act Chips Act 20,3,0.37595388293266296,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,University of Bergen,2025 Strategic Foresight Report,10,0.3747687339782715,True
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,Andre REBENTISCH,2025 Strategic Foresight Report,6,0.37418317794799805,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,Silicon Alps Cluster GmbH,Evaluation and Revision of the Chips Act Chips Act 20,5,0.37353187799453735,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,Aarhus University Department of Electrical  Computer Engineering,Evaluation and Revision of the Chips Act Chips Act 20,0,0.37313395738601685,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,EVIDEN  Bull SAS,Evaluation and Revision of the Chips Act Chips Act 20,3,0.3716233968734741,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Anonymous,2025 Strategic Foresight Report,6,0.370447039604187,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,University of Las Palmas de Gran Canaria,Evaluation and Revision of the Chips Act Chips Act 20,0,0.36936789751052856,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,David Van Geert,2025 Strategic Foresight Report,6,0.3691466450691223,False
The Centre for Future Generations,2025 Strategic Foresight Report,4,Simon Önnered,2025 Strategic Foresight Report,0,0.36859023571014404,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,Instituto Nacional de Administração IP Portugal,2025 Strategic Foresight Report,10,0.3684512972831726,True
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,Polar Light Technologies AB,Evaluation and Revision of the Chips Act Chips Act 20,5,0.3682374060153961,False
The Centre for Future Generations,2025 Strategic Foresight Report,4,APTE,Evaluation and Revision of the Chips Act Chips Act 20,0,0.3681793808937073,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,Global Electronics Association,Evaluation and Revision of the Chips Act Chips Act 20,7,0.3680388927459717,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,FHNW,Evaluation and Revision of the Chips Act Chips Act 20,0,0.36794567108154297,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Photonics Finland,Evaluation and Revision of the Chips Act Chips Act 20,5,0.3677317500114441,False
The Centre for Future Generations,2025 Strategic Foresight Report,4,AstroLife Universe is a European strategic project officially validated by national authorities Spai,Evaluation and Revision of the Chips Act Chips Act 20,8,0.3673151731491089,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,Jordan Leung,Evaluation and Revision of the Chips Act Chips Act 20,3,0.3672725260257721,False
The Centre for Future Generations,2025 Strategic Foresight Report,4,Quintauris,Evaluation and Revision of the Chips Act Chips Act 20,3,0.3669598698616028,False
The Centre for Future Generations,2025 Strategic Foresight Report,4,Technology Industries of Finland,Evaluation and Revision of the Chips Act Chips Act 20,3,0.3659534454345703,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,ASOCIACION INDUSTRIAL DE CANARIAS ASINCA,2025 Strategic Foresight Report,10,0.3655604124069214,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Davy Anthonissen,2025 Strategic Foresight Report,6,0.36530801653862,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Maastricht School of Management,2025 Strategic Foresight Report,6,0.36504051089286804,False
The Centre for Future Generations,2025 Strategic Foresight Report,4,Qualcomm,Evaluation and Revision of the Chips Act Chips Act 20,3,0.36424392461776733,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,Qualcomm,Evaluation and Revision of the Chips Act Chips Act 20,3,0.36421215534210205,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,ChipsWIN Imagine Microelectronics srl,Evaluation and Revision of the Chips Act Chips Act 20,5,0.36326760053634644,False
The Centre for Future Generations,2025 Strategic Foresight Report,4,European Space Component Coordination Component Technology Board,Evaluation and Revision of the Chips Act Chips Act 20,3,0.3631914258003235,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,Water Europe,Evaluation and Revision of the Chips Act Chips Act 20,3,0.3625660836696625,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,AESEMI Asociacion Española de la Industria de Semiconductores,Evaluation and Revision of the Chips Act Chips Act 20,3,0.36127299070358276,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,Estonian Electronics Industries Association,Evaluation and Revision of the Chips Act Chips Act 20,3,0.3603131175041199,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,CLEPA - European Association of Automotive Suppliers,Evaluation and Revision of the Chips Act Chips Act 20,0,0.36029648780822754,False
CONNECT Research Ireland Centre for Future Networks,Evaluation and Revision of the Chips Act Chips Act 20,10,SK-CHIPS,Evaluation and Revision of the Chips Act Chips Act 20,0,0.3598657250404358,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,University of Padova,Evaluation and Revision of the Chips Act Chips Act 20,5,0.35956597328186035,False
